gene	symbol
CTRB1	Acinar
KLK1	Acinar
RBPJL	Acinar
PTF1A	Acinar
Acinar	cells
CELA3A	Acinar
PRSS1	Acinar
Acinar	cells
SPINK1	Acinar
ZG16	Acinar
CEL	Acinar
CELA2A	Acinar
Acinar	cells
CPB1	Acinar
CELA1	Acinar
Acinar	cells
RNASE1	Acinar
AMY2B	Acinar
CPA2	Acinar
CPA1	Acinar
CELA3B	Acinar
PNLIP	Acinar
Acinar	cells
PLA2G1B	Acinar
PRSS2	Acinar
CLPS	Acinar
Acinar	cells
SYCN	Acinar
PNLIPRP1	Acinar
CTRC	Acinar
REG3A	Acinar
Acinar	cells
PRSS3	Acinar
Acinar	cells
CFB	Acinar
GDF15	Acinar
MUC1	Acinar
Acinar	cells
DUOXA2	Acinar
Acinar	cells
OLFM4	Acinar
GSTA1	Acinar
LGALS2	Acinar
PDZK1IP1	Acinar
RARRES2	Acinar
CXCL17	Acinar
UBD	Acinar
GSTA2	Acinar
ANPEP	Acinar
Acinar	cells
ANGPTL4	Acinar
ALDOB	Acinar
CEBPA	Adipocyte
EGFR	Adipocyte
FGF10	Adipocyte
GSC	Adipocyte
MMP3	Adipocyte
PPARG	Adipocyte
TWIST2	Adipocyte
GATA3	Adipocyte
GLI1	Adipocyte
SMO	Adipocyte
STAB1	Adipocyte
WISP2	Adipocyte
WT1	Adipocyte
SCARA5	Adipocyte
HOXC8	Adipocyte
TCF7L1	Adipocyte
HOXC9	Adipocyte
HOXC6	Adipocyte
HOXC4	Adipocyte
Adipocyte	progenitor
SULT1E1	Adipocyte
EBF2	Adipocyte
NRG4	Adipocyte
SLC36A2	Adipocytes
P2RX5	Adipocytes
LEP	Adipocytes
UCP1	Adipocytes
CIDEA	Adipocytes
PRDM16	Adipocytes
LHX8	Adipocytes
EPSTI1	Adipocytes
MC2R	Adipocytes
FFAR2	Adipocytes
PIKFYVE	Adipocytes
CYP11B2	Adipocytes
TLR2	Adipocytes
TLR4	Adipocytes
ADRB1	Adipocytes
ADRB2	Adipocytes
ADRB3	Adipocytes
FABP4	Adipocytes
TNFRSF9	Adipocytes
TBX1	Adipocytes
TMEM26	Adipocytes
TCF21	Adipocytes
ADIPOQ	Adipocytes
CFD	Adipocytes
ACVR1C	Adipocytes
SLC2A4	Adipocytes
LPIN1	Adipocytes
PLIN1	Adipocytes
PCK1	Adipocytes
PPARG	Adipocytes
RETN	Adipocytes
MEST	Adipocytes
ADM2	Adipocytes
STAT6	Adipocytes
TFE3	Adipocytes
CPPED1	Adipocytes
APPL2	Adipocytes
APOL6	Adipocytes
PXMP2	Adipocytes
Adipocytes	cavin-1|CGL4|PTRF
AGT	Adipocytes
SLC1A5	Adipocytes
ACSL1	Adipocytes
Adipocytes	NA
BCAT2	Adipocytes
PNPLA2	Adipocytes
CIDEC	Adipocytes
CDO1	Adipocytes
APOC1	Adipocytes
MMP2	Adipocytes
POSTN	Adipocytes
LOX	Adipocytes
COL6A2	Adipocytes
ZBTB16	Adipocytes
GULP1	Adipocytes
FZD4	Adipocytes
TRIP10	Adipocytes
FGF7	Adipocytes
MAOB	Adipocytes
SOCS1	Adipocytes
ARNT	Adipocytes
SULT1A1	Adipocytes
NNMT	Adipocytes
AOC3	Adipocytes
H6PD	Adipocytes
CYP27A1	Adipocytes
EBF2	Adipocytes
MNDA	Adipocytes
HSD11B1	Adipocytes
AR	Adipocytes
GDF10	Adipocytes
CYP1B1	Adipocytes
COL5A3	Adipocytes
STEAP4	Adipocytes
CCL11	Adipocytes
NR1H3	Adipocytes
DEPTOR	Adipocytes
CYTH3	Adipocytes
Adipocytes	NA
FMO1	Adipocytes
ACADSB	Adipocytes
XDH	Adipocytes
RSPO3	Adipocytes
PTGES	Adipocytes
CREB3L1	Adipocytes
ANGPTL2	Adipocytes
ADAM12	Adipocytes
Adipocytes	NA
LBP	Adipocytes
NMB	Adipocytes
RARRES2	Adipocytes
FST	Adipocytes
EGFR	Adipocytes
CPXM1	Adipocytes
C3	Adipocytes
ADAMTS5	Adipocytes
Adipocytes	MT2
TIMP1	Adipocytes
METRN	Adipocytes
METRNL	Adipocytes
MYO1C	Adipocytes
NQO1	Adipocytes
SYAP1	Adipocytes
CRNDE	Adipocytes
AQP5	Adipocytes
TSPO	Adipocytes
AZGP1	Adipocytes
LRP1	Adipocytes
PDE3B	Adipocytes
LGALS12	Adipocytes
SERPINF1	Adipocytes
CPT1B	Adipocytes
ELOVL3	Adipocytes
PPARGC1A	Adipocytes
MPZL1	Adipocytes
CITED1	Adipocytes
DPT	Adipocytes
HOXC9	Adipocytes
Adipocytes	KIAA0760|hOAZ|Ebfaz|Zfp104|NPHP14|JBTS19
ESM1	Adipocytes
TH	Adrenergic
DDC	Adrenergic
DBH	Adrenergic
PNMT	Adrenergic
SLC18A2	Adrenergic
NPFF	Adrenergic
SLC12A7	Adrenergic
SYT1	Adrenergic
AQP1	Airway
ADH7	Airway
CDH1	Airway
SEC14L3	Airway
MUC5B	Airway
MUC16	Airway
LTF	Airway
SCGB3A1	Airway
Airway	goblet
DMBT1	Airway
Airway	goblet
Airway	goblet
LIPF	Airway
Airway	goblet
MSLN	Airway
AGR2	Airway
GP2	Airway
PIGR	Airway
TFF2	Airway
AQP5	Airway
Airway	goblet
QSOX1	Airway
FXYD3	Airway
SEC23B	Airway
CEACAM1	Airway
GOLPH3	Airway
GGH	Airway
GALNT5	Airway
GALNT6	Airway
MUC5AC	Airway
MUC4	Airway
MUC20	Airway
SPDEF	Airway
DUSP4	Airway
NOG	Airway
ACTA2	Airway
FOXF1	Airway
GATA5	Airway
GCG	Alpha
TTR	Alpha
GLP1R	Alpha
ARX	Alpha
POU3F4	Alpha
NKX2-2	Alpha
RESP18	Alpha
PYY	Alpha
PCSK2	Alpha
SLC38A5	Alpha
TM4SF4	Alpha
CRYBA2	Alpha
NKX6-1	Alpha
KCNK16	Alpha
PCSK1	Alpha
PRRG2	Alpha
IRX2	Alpha
ALDH1A1	Alpha
PEMT	Alpha
CHGA	Alpha
Alpha	cells
SMIM24	Alpha
F10	Alpha
SCGN	Alpha
SLC30A8	Alpha
SH3GL2	Alpha
Alpha	cells
FAP	Alpha
DPP4	Alpha
GPR119	Alpha
MAFB	Alpha
PAX6	Alpha
NEUROD1	Alpha
LOXL4	Alpha
PLCE1	Alpha
GC	Alpha
KLHL41	Alpha
FEV	Alpha
PTGER3	Alpha
RFX6	Alpha
SMARCA1	Alpha
PGR	Alpha
LDB2	Alpha
IRX1	Alpha
UCP2	Alpha
FXYD5	Alpha
RGS4	Alpha
GLS	Alpha
Alveolar	macrophages
PLET1	Alveolar
IL1B	Alveolar
Alveolar	macrophages
Alveolar	macrophages
CCL3	Alveolar
G0S2	Alveolar
CXCL2	Alveolar
MCEMP1	Alveolar
KLHDC4	Alveolar
Alveolar	macrophages
GDA	Alveolar
CLEC7A	Alveolar
Alveolar	macrophages
ITGAX	Alveolar
TNFAIP2	Alveolar
CD36	Alveolar
GAL	Alveolar
Alveolar	macrophages
Alveolar	macrophages
TLR2	Alveolar
GPNMB	Alveolar
MRC1	Alveolar
Alveolar	macrophages
MARCO	Alveolar
CSF2RB	Alveolar
MPP1	Alveolar
TRIM25	Alveolar
Alveolar	macrophages
OLR1	Alveolar
S100A4	Alveolar
GNGT2	Alveolar
Alveolar	macrophages
AGA	Anterior
ANGPT1	Anterior
CHGA	Anterior
CPEB4	Anterior
Anterior	pituitary
Anterior	pituitary
IGSF1	Anterior
MEST	Anterior
NKTR	Anterior
NUCB2	Anterior
PITX2	Anterior
POU1F1	Anterior
PRL	Anterior
RAB27A	Anterior
RCN3	Anterior
SEZ6L2	Anterior
SIX6	Anterior
TBRG1	Anterior
TMEM130	Anterior
POMC	Anterior
GMPPA	Anterior
Anterior	pituitary
GNB3	Anterior
HEPACAM2	Anterior
ASB4	Anterior
RAX	Anterior
NKX2-1	Anterior
FGF10	Anterior
FSHB	Anterior
PCSK1	Anterior
GNRHR	Anterior
PITX1	Anterior
Anterior	pituitary
TSHB	Anterior
PAX7	Anterior
LHB	Anterior
S100B	Astrocytes
SLC1A2	Astrocytes
GFAP	Astrocytes
BYSL	Astrocytes
ALDH1L1	Astrocytes
CD40	Astrocytes
SLC1A3	Astrocytes
FGFR3	Astrocytes
GJB6	Astrocytes
AQP4	Astrocytes
HTRA1	Astrocytes
S100A8	Astrocytes
CLDN10	Astrocytes
ITIH3	Astrocytes
NKAIN4	Astrocytes
ACSL6	Astrocytes
ACSBG1	Astrocytes
TRIL	Astrocytes
AGT	Astrocytes
GPR37L1	Astrocytes
SLC4A4	Astrocytes
NTSR2	Astrocytes
SLC6A11	Astrocytes
HSPA2	Astrocytes
SLC16A2	Astrocytes
SYNE1	Astrocytes
DIO2	Astrocytes
SLC7A10	Astrocytes
ENTPD2	Astrocytes
HSPB6	Astrocytes
PLXNB1	Astrocytes
LCAT	Astrocytes
PLA2G7	Astrocytes
CMTM5	Astrocytes
S1PR1	Astrocytes
SLC39A12	Astrocytes
LUZP2	Astrocytes
GSTA4	Astrocytes
SLC25A28	Astrocytes
SLC25A46	Astrocytes
WNT3	Astrocytes
FZD2	Astrocytes
TEAD1	Astrocytes
RLBP1	Astrocytes
ALDOC	Astrocytes
GJA1	Astrocytes
APOE	Astrocytes
LCN2	Astrocytes
SOX9	Astrocytes
VIM	Astrocytes
CCR7	Astrocytes
AANAT	Astrocytes
FABP7	Astrocytes
SOCS3	Astrocytes
SYNM	Astrocytes
HMG20A	Astrocytes
NFATC3	Astrocytes
SRR	Astrocytes
SLC1A6	Astrocytes
ETS1	Astrocytes
SLIT1	Astrocytes
SNPH	Astrocytes
IL23A	Astrocytes
CD2	B
CD5	B
MS4A1	B
CR2	B
CD22	B
B	cells
CD40	B
CD69	B
CD70	B
CD79A	B
CD79B	B
CD80	B
CD86	B
TNFRSF9	B
SDC1	B
TNFSF4	B
TNFRSF13B	B
TNFRSF13C	B
PDCD1	B
IGHD	B
IGHM	B
RASGRP3	B
B	cells
LTB	B
B	cells
FLI1	B
CD14	B
SEMA6D	B
LAIR1	B
IFIT3	B
IGLL1	B
DNTT	B
MME	B
SPN	B
CD19	B
B	cells
CD27	B
B3GAT1	B
CD72	B
MUM1	B
PAX5	B
JCHAIN	B
MZB1	B
LY6D	B
B	cells
FCMR	B
BANK1	B
EDEM1	B
VPREB3	B
B	cells
POU2AF1	B
CRELD2	B
DERL3	B
B	cells
RALGPS2	B
FCHSD2	B
POLD4	B
B	cells
TNFRSF17	B
HVCN1	B
B	cells
FCRLA	B
EDEM2	B
BLNK	B
B	cells
TXNDC11	B
BTLA	B
SMAP2	B
B	cells
B	cells
FKBP11	B
SEC61A1	B
SPCS3	B
SPIB	B
EAF2	B
CXCR4	B
BIRC3	B
IGLC2	B
IGLC3	B
IGLC1	B
IL21R	B
IGKC	B
B	cells
VPREB1	B
B	cells
LRMP	B
KLHL6	B
SLAMF6	B
FAM129C	B
BST1	B
MSH5	B
DOK3	B
BACH2	B
B	cells
PXK	B
IGHG1	B
IGHG3	B
B	cells
B	cells
CD38	B
PTPRC	B
EBF1	B
BCL11A	B
CCR7	B
CD55	B
CD74	B
CD52	B
TLR9	B
SWAP70	B
HMGA1	B
CD38	B
CD80	B
CD84	B
CD86	B
NT5E	B
PAX5	B
PTPRC	B
SPIB	B
ADAM28	B
AIM2	B
ALOX5	B
BACH2	B
BANK1	B
BLK	B
CCR6	B
CD180	B
CD19	B
B	cells
CD22	B
CD27	B
CD37	B
CD69	B
CD72	B
CD79A	B
CD79B	B
B	cells
CR2	B
CXCR5	B
DENND5B	B
FCGR2B	B
B	cells
FRK	B
GNG7	B
B	cells
B	cells
HHEX	B
B	cells
B	cells
IGHD	B
IGHM	B
IGKC	B
B	cells
IL7	B
